"ID","Reported Fiscal Year","Fiscal Year","Borough (Code)","Full Borough Name","Council District","Neighborhoods","Sponsor","Project Title","Project Description","Budget Line","Award Amount ($)"
"HA CN038","FY19","FY19","K","Brooklyn",33,"Greenpoint, Williamsburg","Levin","NYCHA WILLIAMS PLAZA","LIGHTING AND FENCING IMPROVEMENTS","HA D001",100000
"HA CN039","FY19","FY19","K","Brooklyn",33,"Greenpoint, Williamsburg","Levin","NYCHA WYCOFF  GARDENS","COMMUNITY CENTER","HA D001",264000
"HD CN888","FY19","FY19","K","Brooklyn",33,"Greenpoint, Williamsburg","Speaker, Levin","BREAKING GROUND II HOUSING DEVELOPMENT FUND CORPORATION","ACQUISITION OF VACANT FORMER HOTEL BUILDING LOCATED AT 90 SANDS STREET FOR USE AS A SUPPORTIVE HOUSING DEVELOPMENT. CAPGRANTS ID 13-384670-T7939.","HD D020",2000000
"HD NC001","FY19","FY19","Q","Queens",31,"","Richards","13 CENTRAL & AUGUSTINA AVENUE","A PARTNERSHIP BETWEEN BRISA BUILDERS CORP. ""DEVELOPER"", ARVENE CHURCH OF GOD, INC. ""CHURCH"" AND CRUZ BROTHERS REALTY, LLC ""SUPERMARKET"", WILL DEVELOP AN AS-OF-RIGHT, 201,725 SF MIXED USED, AFFORDABLE HOUSING DEVELOPMENT IN THE ARVERNE NEIGHBORHOOD OF CB14","HD D022",500000
"HD NC002","FY19","FY19","M","Manhattan",7,"Upper West Side, Manhattan Valley, Morningside Heights","Levine","158 ST. & RIVERSIDE DRIVE HOUSING CO., INC.","FACADE & DRIVEWAY RECONSTRUCTION, ADA ACCESS","HD D021",1000000
"HD NC003","FY19","FY19","X","Bronx",17,"","Salamanca","ARTHUR AVENUE SENIOR HOUSING","9-STORY 177-UNIT AFFORDABLE SENIOR HOUSING RESIDENCE, WHICH WILL BE LOCATED IN THE BELMONT SECTION OF THE BRONX.","HD D024",500000
"HD NC004","FY19","FY19","Q","Queens",31,"","Richards","ARVERNE LIMITED PROFIT HOUSING CORP.","FUNDS WILL BE USED FOR LOBBY DOORS AND WINDOWS RESILIENCY PROJECT.","HD DN931",250000
"HD NC005","FY19","FY19","M","Manhattan",2,"Greenwich Village, West Village, SoHo, NoHo, Little Italy, Chinatown","Rivera","ASIAN AMERICANS FOR EQUALITY, INC - EAST VILLAGE HOMES","302 EAST 2ND STREET AND 276 EAST 3RD STREET, NEW YORK, NY 10009","HD D021",500000
"HD NC006","FY19","FY19","M","Manhattan",1,"Financial District, Tribeca, Chinatown, SoHo, Battery Park City","Chin","ASIAN AMERICANS FOR EQUALITY, INC. - AFFORDABLE HOUSING REHAB","BATHROOM AND KITCHEN RENOVATIONS AND EQUIPMENT, APPLIANCE AND CABINET UPGRADES TO 176-180 ELDRDIGE STREET, AN AAFE-OWNED AFFORDABLE HOUSING COMPLEX.","HD DN512",200000
"HD NC007","FY19","FY19","Q","Queens",31,"","Richards","BEACH 19TH","BEACH 19TH IS THE FIRST PHASE OF A TWO-BUILDING MIXED-USE NEW CONSTRUCTION PROJECT LOCATED AT 10-25 BEACH 20TH STREET IN FAR ROCKAWAY, QUEENS. BEACH 19TH IS COMPRISED OF 166 RENTAL UNITS, WHICH WILL BE 100% AFFORDABLE, PARKING, AND COMMERCIAL SPACE.","HD D022",250000
"HD NC008","FY19","FY19","X","Bronx",11,"","Cohen","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES - BRONX HOUSING","VEHICLE PURCHASE","PW DN237",36000
"HD NC009","FY19","FY19","M","Manhattan",8,"Upper East Side, Carnegie Hill, Yorkville, Lenox Hill","Ayala","CASABE HOUSES SENIOR HOUSING - EXTERIOR RENOVATIONS","EXTERIOR RENOVATIONS AT CASABE HOUSES SENIOR HOUSING","HD D021",900000
"HD NC010","FY19","FY19","X","Bronx",16,"","Gibson","CONCOURSE VILLAGE","REPAIR CONCRETE AND STEEL SUPPORT PODIUM","HD DN661",250000
"HD NC011","FY19","FY19","M","Manhattan",9,"Harlem, East Harlem, Morningside Heights","Perkins","ESPLANADE GARDENS","CONSTRUCTION","HD DN850",1500000
"HD NC013","FY19","FY19","K","Brooklyn",33,"Greenpoint, Williamsburg","Levin","FIFTH AVENUE COMMITTEE HOUSING","332 BERGEN STREET RENOVATION","HD D020",330000
"HD NC014","FY19","FY19","Q","Queens",29,"","Koslowitz","FORESTDALE INC. - RESIDENTIAL SERVICES RENOVATION","FORESTDALE RENOVATIONS PROJECT","CS DN858",400000
"HD NC015","FY19","FY19","M","Manhattan",1,"Financial District, Tribeca, Chinatown, SoHo, Battery Park City","Chin","GOUVERNEUR GARDENS HOUSING CORP. - DOOR REPLACEMENT","TO REPLACE DOORS AND FACADES TO IMPROVE SECURITY AS WELL AS PRESERVE WARMTH IN THE LOBBY IN THE WINTER","HD D021",225000
"HD NC016","FY19","FY19","K","Brooklyn",33,"Greenpoint, Williamsburg","Levin","HPD NORTHSIDE TOWN HALL CONSTRUCTION AND RENOVATION","HPD CONSTRUCTION AND RENOVATION OF NORTHSIDE TOWN HALL","PW D007",550000
"HD NC017","FY19","FY19","Q","Queens",24,"Kew Gardens, Kew Gardens Hills, Briarwood","Lancman","INDIA HOME, INC. - SOUTH ASIAN COMMUNITY HOME","FUNDS TO PURCHASE A SPACE IN JAMAICA, QUEENS TO HOUSE SENIOR CENTER PROGRAMS, CASE MANAGEMENT AND ASSISTANCE SERVICES, MENTAL HEALTH SERVICES INCLUDING  DEMENTIA DAY PROGRAM, AND ADMINISTRATIVE ACTIVITIES.","AG DN663",288000
"HD NC018","FY19","FY19","Q","Queens",23,"Woodhaven, Richmond Hill","Grodenchik","INDIA HOME, INC. -  BUILDING","TO HELP FUND THE PURCHASE OF A PERMANENT SPACE","AG DN663",100000
"HD NC019","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","INDIA HOME, INC. - PROPERTY ACQUISITION","REAL PROPERTY ACQUISITION FOR THE OPERATION OF A SENIOR CENTER CATERED TO THE SOUTH ASIAN COMMUNITY","AG DN663",100000
"HD NC020","FY19","FY19","K","Brooklyn",48,"","Deutsch","KINGS BAY HOUSING CO. SECTION I, ROOF","FUNDS TO COVER COST TO REPLACE 74,625 SQUARE FEET OF ROOF, INCLUDING LABOR, MATERIALS AND WARRANTY.","HD D020",1157000
"HD NC021","FY19","FY19","K","Brooklyn",48,"","Deutsch","LUNA PARK HOUSING CORP","UPGRADES TO LUNA PARK HOUSING REPLACE STAIRWELL DOORS AND WING DOORS.","HD D020",500000
"HD NC022","FY19","FY19","M","Manhattan",9,"Harlem, East Harlem, Morningside Heights","Perkins","RIVERBEND HOUSING COMPANY","CONSTRUCTION/SITE UPGRADE (2289, 2301, 2311 AND 2333 FIFTH AVENUE, NEW YORK, NY (HARLEM)","HD D021",1000000
"HD NC023","FY19","FY19","K","Brooklyn",41,"Canarsie, Flatlands, Georgetown, Mill Basin","Ampry-Samuel","THE JOINT OWNERSHIP ENTITY NEW YORK CITY CORP.","THE FUNDS WILL BE USED FOR BOILERS AND ROOF REPLACEMENTS FOR DEVELOPMENTS IN BROOKLYN.","HD D003",172000
"HD NC024","FY19","FY19","X","Bronx",17,"","Salamanca","THE WILLOW (111 WILLOW AVE, BX)","THE WILLOW IS TO BE AN EIGHT-STORY MIXED-USE, MIXED-INCOME DEVELOPMENT PROJECT LOCATED IN THE PORT MORRIS SECTION OF THE BRONX.","HD D024",500000
"HD NC025","FY19","FY19","M","Manhattan",2,"Greenwich Village, West Village, SoHo, NoHo, Little Italy, Chinatown","Rivera","VILLAGE EAST TOWERS","INSTALLATION OF 11 NEW SLIDING DOOR SYSTEMS AT THE ENTRY OF THE BUILDINGS","HD D021",54000
"HD NC026","FY19","FY19","X","Bronx",11,"","Cohen","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES","WESTCHESTER AVENUE CHILDREN'S RESIDENCE: VEHICLE PURCHASE","PW DN237",36000
"HD NC027","FY19","FY19","K","Brooklyn",36,"Crown Heights, Prospect Heights, Weeksville","Cornegy","JOE CENTRAL BROOKLYN HOUSING CLUSTER","FUNDING TO REPLACE BOILERS AND ROOFS IN BROOKLYN DEVELOPMENTS.","HD D003",589000
"HD NC028","FY19","FY19","K","Brooklyn",36,"Crown Heights, Prospect Heights, Weeksville","Cornegy","BEDFORD STUYVESANT RESTORATION CORP. - SHEFFIELD ELEVATOR UPGRADES","FUNDING TO SUPPORT THE REPLACEMENT OF THE CONVEYANCE SYSTEM IN BEDFORD STUYVESANT RESTORATION'S MAIN BUILDING AT 1368 FULTON STREET.","PV DN654",1100000
"HD NC029","FY19","FY19","K","Brooklyn",36,"Crown Heights, Prospect Heights, Weeksville","Cornegy","PRATT AREA COMMUNITY COUNCIL, INC. - SENIOR AFFORDABLE HOUSING","FUNDING CONSTRUCTION OF A 4-STORY, 35,000 SQUARE FOOT SENIOR AFFORDABLE HOUSING BUILDING.","HD D020",500000
"HD NC030","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","THE JOINT OWNERSHIP ENTITY NEW YORK CITY CORP.","FUNDING TO PRESERVE 48 UNITS OF AFFORDABLE HOUSING.","HD D003",229000
"HD NC031","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","FIRST ATLANTIC TERMINAL HOUSING CORP. - FATH -WINDOW REPLACEMENT","FIRST ATLANTIC TERMINAL WOULD LIKE TO REPLACE THE WINDOWS IN THE PROJECT WITH STORM PROOF WINDOWS FOR ALL OF THE UNITS IN THE COOPERATIVE AS WELL AS THE COMMON AREAS.","HD D020",100000
"HD NC032","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","SECOND ATLANTIC TERMINAL HOUSING CORP.","THE PROJECT IS FOR THE REPLACEMENT OF ALL THREE ROOFS IN THE DEVELOPMENTS WHICH ARE AGED AND REQUIRE ANNUAL MAINTENANCE FOR UPKEEP.  NEW EFFICIENT LEED CERTIFIED ROOFS WILL BE INSTALLED SAFE MONEY AND HAVE AN ENVIRONMENTALLY FRIENDLY SYSTEM.","HD D020",100000
"HD NC033","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","RYERSON TOWERS, INC. - RISER REPLACEMENT & ELECTRICAL UPGRADE","THE PLANNED PROJECT INCLUDES GAS RISER REPLACEMENT AND ELECTRICAL UPGRADE WORK INCLUDING REPLACING FUSE BOXES WITH CIRCUIT BREAKER PANELS IN ALL APARTMENTS.","HD DN755",100000
"HD NC034","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","CROWN GARDENS HOUSING CORPORATION - SECURITY","FUNDING TO SUPPORT SECURITY MEASURES AND SURVEILLIANCE SYSTEMS.","HD D020",100000
"HD NC035","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","BEDFORD STUYVESANT RESTORATION CORP. - SHEFFIELD ELEVATOR UPGRADES","FUNDING TO SUPPORT THE REPLACEMENT OF THE CONVEYANCE SYSTEM IN BEDFORD STUYVESANT RESTORATION'S MAIN BUILDING AT 1368 FULTON STREET.","PV DN654",1100000
"HD NC037","FY19","FY19","X","Bronx",10,"","Rodriguez","RISEBORO COMMUNITY PARNERSHIP","HOUSING DEVELOPMENT PLAN ON 37 HILLSIDE AVE. IN MANHATTAN","HD D021",500000
"HD NC038","FY19","FY19","K","Brooklyn",45,"","Williams","BPHN SENIOR RESIDENCE PROJECT","CAPITAL FUNDS WILL SUPPORT A THE PROPOSED CONSTRUCTION OF 89 UNITS OF LOW-INCOME HOUSING FOR SENIORS EARNING LESS THAN 50% OF THE AMI. THE BPHN SENIOR RESIDENCE PROJECT WILL BE LOCATED AT 1488 NEW YORK AVENUE AND WILL CONSIST OF 88 STUDIO UNITS, ONE 1-BED","HD D020",500000
"HD NC039","FY19","FY19","M","Manhattan",700,"","Levine, Speaker","158 ST. & RIVERSIDE DRIVE HOUSING CO., INC.","FACADE & DRIVEWAY REPAIRS, ADA ACCESS","HD D021",1000000
"HD NC041","FY19","FY19","K","Brooklyn",3635,"","Speaker, Cornegy, Cumbo","BEDFORD STUYVESANT RESTORATION CORP. -SHEFFIELD BUILDING ENVELOPE RENOV","REMOVE PEDESTRIAN HAZARDS, INCREASE BUILDING ENERGY EFFICIENCY, AND WATERPROOF BUILDING TO CODE.","PV DN654",2000000
"HD NC042","FY19","FY19","K","Brooklyn",3635,"","Speaker, Cornegy, Cumbo","BEDFORD STUYVESANT RESTORATION CORP. -SHEFFIELD HVAC UPGRADES AND BMS","MODERNIZATION AND REPLACEMENT OFMECHANICAL AND ELECTRIC SYSTEMS.  NEW AIR HANDLERS, CONTROL SYSTEMS, DAMPERS, VALVES, HYDRONIC PIPE RISERS, ELECTRICAL MOTOR STARTERS AND DISTRIBUTION PANES.","PV DN654",3000000
"HD NC042","FY19","FY20","K","Brooklyn",3635,"","Speaker, Cornegy, Cumbo","BEDFORD STUYVESANT RESTORATION CORP. -SHEFFIELD HVAC UPGRADES AND BMS","MODERNIZATION AND REPLACEMENT OFMECHANICAL AND ELECTRIC SYSTEMS.  NEW AIR HANDLERS, CONTROL SYSTEMS, DAMPERS, VALVES, HYDRONIC PIPE RISERS, ELECTRICAL MOTOR STARTERS AND DISTRIBUTION PANES.","PV DN654",3000000
"HD NC043","FY19","FY19","K","Brooklyn",41,"Canarsie, Flatlands, Georgetown, Mill Basin","Speaker, Ampry-Samuel","BEREAN HOUSING DEVELOPMENT FUND CORPORATION, INC","BEREAN HDFC REQUESTS THESE CAPITAL FUNDS TO MAKE CRITICALLY NECESSARY IMPROVEMENTS TO THE STRUCTURE AND INFRASTRUCTURE OF ITS AFFORDABLE HOUSING PORTFOLIO AND MAINTAIN QUALITY AFFORDABLE HOUSING IN ITS TARGETED AREA.  AS SUCH, THE PROPOSED PURPOSE OF THE","HD D020",1000000
"HD NC044","FY19","FY19","M","Manhattan",2,"Greenwich Village, West Village, SoHo, NoHo, Little Italy, Chinatown","Speaker, Rivera","CITILEAF HOUSING HDFC - CHILLER","AC CHILLER FOR RESIDENTS OF CITILEAF HOUSING","HD D021",725000
"HD NC046","FY19","FY19","K","Brooklyn",41,"Canarsie, Flatlands, Georgetown, Mill Basin","Speaker, Ampry-Samuel","FIFTH AVENUE COMMITTEE, INC.","FIFTH AVENUE COMMITTEE INTENDS TO DEVELOP 2 IN-FILL 4 STORY RENTAL BUILDINGS IN BROWNSVILLE TO PROVIDE 24 APARTMENTS AFFORDABLE TO HOUSEHOLDS EARNING BETWEEN 30% AND 60% OF AREA MEDIAN INCOME (AMI). THESE APARTMENTS, MORE IMPORTANTLY, WILL BE AFFORDABLE T","HD D020",550000
"HD NC047","FY19","FY19","K","Brooklyn",43453892,"","Speaker, Brannan, Williams, Menchaca, Brooklyn Delegation","FIFTH AVENUE COMMITTEE, INC.- 6309 4TH AVENUE AFFORDABLE HOUSING","AFFORDABLE SENIOR HOUSING CONSTRUCTION","HD D020",1000000
"HD NC050","FY19","FY19","K","Brooklyn",419700,"","Ampry-Samuel, Black, Latino and Asian Caucus, Speaker","HABITAT FOR HUMANITY NEW YORK CITY, INC.","BROWNSVILLE NORTH &AMP; SOUTH IS A PROPOSED 44 UNITS AFFORDABLE HOUSING PROJECT COMPOSED OF SEVEN SCATTERED VACANT LOTS LOCATED IN THE BROWNSVILLE SECTION OF BROOKLYN.  THE PROJECT SITES ARE CURRENTLY VACANT AND OWNER BY NYC DEPARTMENT OF HOUSING PRESERVA","HD D020",800000
"HD NC052","FY19","FY19","X","Bronx",1700,"","Salamanca, Speaker","LAFAYETTE MORRISON HOUSING DEVELOPMENT FUND CORPORATION (ELEVATOR AND C","THE PROJECT IS BROKEN DOWN INTO TWO COMPONENTS, THE FIRST AN ELEVATOR MODERNIZATION AND UPGRADE PROJECT AND THE SECOND IS HALLWAY AND COMMON AREA PAINTING AND TILING.","HD D024",2800000
"HD NC054","FY19","FY19","X","Bronx",1700,"","Salamanca, Speaker","MHANY MANAGEMENT, INC. (THE PENINSULA BUILDING 1B )","THE CITY CAPITAL REQUEST WILL FUND THE CONSTRUCTION OF A 100% AFFORDABLE 183 UNIT BUILDING BUILT TO LEED SILVER STANDARDS WITH STATE-OF-THE-ART SOLAR PANEL INSTALLATION AND BRONX-BASED ARTIST AND WORK SPACE.","HD D024",500000
"HD NC055","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Espinal","RISEBORO COMMUNITY PARTNERSHIP--CYPRESS HILLS I","CYPRESS HILLS I AFFORDABLE HOUSING PROJECT","HD D020",1000000
"HD NC056","FY19","FY19","K","Brooklyn",3500,"","Cumbo, Speaker","RYERSON TOWERS, INC. - RISER REPLACEMENT & ELECTRICAL UPGRADE","THE PLANNED PROJECT INCLUDES GAS RISER REPLACEMENT AND ELECTRICAL UPGRADE WORK INCLUDING REPLACING FUSE BOXES WITH CIRCUIT BREAKER PANELS IN ALL APARTMENTS.","HD DN755",500000
"HD NC057","FY19","FY19","X","Bronx",8,"","Speaker, Ayala","THE BRIDGE, INC. - BETANCES VI DEVELOPMENT PROJECT","FUNDING FOR BETANCES VI DEVELOPMENT PROJECT","HD D024",500000
"HD NC059","FY19","FY19","M","Manhattan",8,"Upper East Side, Carnegie Hill, Yorkville, Lenox Hill","Speaker, Ayala","THE PROMESA HOUSING DEVELOPMENT FUND CORPORATION - SENDERO VERDE","FUNDING FOR SENDERO VERDE PROJECT","HD D021",550000
"HD NC061","FY19","FY19","K","Brooklyn",3600,"","Cornegy, Speaker","TRUE COLORS BROOKLYN","FUNDING FOR A 71-UNIT SUPPORTIVE HOUSING FACILITY THAT WILL SERVE A MIX OF FORMERLY HOMELESS LGBT YOUTH AND LOW-INCOME LGBT SENIORS","HD D020",500000
"HD NC062","FY19","FY19","X","Bronx",8,"","Speaker, Ayala","WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING, INC. - MILL BRO","FUNDING FOR MILL BROOK TERRACE PROJECT","HD D024",248000
"HD NC064","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","FIFTH AVENUE COMMITTEE 332 BERGEN STREET RENOVATION","RENOVATION OF 332 BERGEN, A FOUR STORY MIXED-INCOME RESIDENTIAL BUILDING CONTAINING EIGHT APARTMENTS.","HD D020",286000
"HD NC066","FY19","FY19","K","Brooklyn",38,"Brownsville, Ocean Hill","Menchaca","FIFTH AVENUE COMMITTEE, INC. (FAC) 6309 4TH AVENUE","SUBMISSION ID 11-247574-R7238. DEVELOP A 100% AFFORDABLE HOUSING PROJECT WITH A COMMUNITY FACILITY AT 6309 4TH AVENUE IN SUNSET PARK, BROOKLYN. THE PROJECT WILL PROVIDE A TOTAL OF 84 UNITS OF AFFORDABLE HOUSING.","HD D020",1000000
"HD NC455","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Espinal","MHANY MANAGEMENT, INC.","CHESTNUT COMMONS HOUSING AND COMMUNITY CENTER. CAPGRANTS ID 72-130373-U8449","HD D020",500000
"HD NC777","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Speaker, Espinal","MHANY MANAGEMENT, INC. - CHESTNUT COMMONS","MHANY MANAGEMENT, INC. WITH CYPRESS HILLS LOCAL DEVELPMENT CORPORATION AND URBAN BUILDERS ARE DEVELOPING CHESTNUT COMMONS, A MIXED-USE, 247 UNIT,  100% AFFORDABLE HOUSING PROJECT AT DINSMORE AND CHESTNUT STREETS IN EAST NEW YORK.","HD D020",1000000
"HL NC002","FY19","FY19","K","Brooklyn",42,"Coney Island, Sea Gate, Brighton Beach, West Brighton","Barron","COMMUNITY HEALTHCARE NETWORK - EAST NEW YORK/BETTY SHABAZZ CENTER","THE EAST NEW YORK/DR. BETTY SHABAZZ FACILITY REQUIRES INITIAL OUTFITTING OF EQUIPMENT, FURNITURE, FURNISHINGS, AND APPLIANCES.","HL DN561",278000
"HL NC003","FY19","FY19","M","Manhattan",7,"Upper West Side, Manhattan Valley, Morningside Heights","Levine","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS MANHATTAN","TECHNOLOGY UPGRADES","E  D001",35000
"HL NC004","FY19","FY20","Q","Queens",240015,"","Lancman, Speaker, Torres","GREENBURGER CENTER FOR SOCIAL AND CRIMINAL JUSTICE, INC - HOPE HOUSE","FUNDS WILL BE USED TO GUT AND RENOVATE THE INTERIORS OF TWO BUILDINGS AND CONSTRUCT A NEW WING CONNECTING THE STRUCTURES.","HR DN01N",1900000
"HL NC005","FY19","FY19","K","Brooklyn",48,"","Deutsch","HASC DIAGNOSTIC TREATMENT CENTER NEW BUILDING","FUNDS TO BE USED FOR INITIAL OUTFITTING OF A NEW TREATMENT CENTER AT 1122 CHESNUT AVENUE.","HL DN01D",150000
"HL NC006","FY19","FY19","K","Brooklyn",46,"","Maisel","HATZOLOH INC.","PURCHASE NEW AMBULANCE","HL DN808",75000
"HL NC007","FY19","FY19","K","Brooklyn",44,"","Yeger","MAIMONIDES HOSPITAL-MODERNIZING IMAGING MRI EQUIP","FUNDS WILL BE USED TO PURCHASE MAIMONIDES MEDICAL CENTER (MMC) A STATE-OF-THE-ART SIEMENS MAGNETOM AERA 1.5 TESLA MAGNETIC RESONANCE IMAGING (MRI) SYSTEM TO REPLACE A 14 YEAR OLD MRI.","HL DN254",250000
"HL NC008","FY19","FY19","K","Brooklyn",41,"Canarsie, Flatlands, Georgetown, Mill Basin","Ampry-Samuel","INTERFAITH MEDICAL CENTER","PURCHASE TWO NEW VANS, THAT ARE WHEELCHAIR ACCESSIBLE TO TRANSPORT PATIENTS BETWEEN ONE BROOKLYN HEALTH SYSTEM SITES AND AMBULATORY CARE CENTERS.","HL DN192",102000
"HL NC009","FY19","FY19","K","Brooklyn",41,"Canarsie, Flatlands, Georgetown, Mill Basin","Ampry-Samuel","KINGSBROOK JEWISH MEDICAL CENTER","TO REPLACE EXISTING EQUIPMENT THAT IS AT THE END OF LIFE THAT SUPPORTS THE ESSENTIAL SERVICE LINES OF RADIOLOGY AND WOUND CARE.","HL DN228",298000
"HL NC010","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","MAIMONIDES HOSPITAL-MODERNIZING IMAGING MRI EQUIP","HOSPITAL-MODERNIZING IMAGING MRI EQUIP","HL DN254",100000
"HL NC011","FY19","FY19","K","Brooklyn",43,"","Brannan","MAIMONIDES MEDICAL CENTER - UPGRADING OPERATING ROOM TABLES","FIVE STRYKER OPERON-D OPERATING TABLES AND ONE STERIS FRACTURE TABLE","HL DN254",102000
"HL NC012","FY19","FY19","K","Brooklyn",48,"","Deutsch","MAIMONIDES MEDICAL CENTER OPERATING ROOM TABLES","FUNDS TO PURCHASE OPERATING ROOM TABLES FOR THE HOSPITAL, REPLACING OUTDATED EQUIPMENT.","HL DN254",102000
"HL NC014","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","RICHMOND UNIVERSITY MEDICAL CENTER NEW EMERGENCY DEPT. CONSTRUCTION","THE MEDICAL CENTER IS ADDRESSING THE NEED TO INCREASE THE EMERGENCY DEPARTMENT'S CAPACITY AND SERVICES BY CONSTRUCTING A NEW BUILDING TO REPLACE THE CURRENT AGING STRUCTURE.","HL DN346",1000000
"HL NC016","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","NEW YORK PRESBYTERIAN / BROOKLYN METHODIST","POINT-OF-CARE ULTRASOUND SYSTEM","HL DN562",115000
"HL NC017","FY19","FY19","K","Brooklyn",44,"","Yeger","HASC DIAGNOSTIC AND TREATMENT CENTER - RAMBAM HEALTH CENTER OUTFITTING","FUNDS WILL BE USED TO INITIALLY OUTFIT A NEWLY CONSTRUCTED 11,800 GROSS SQUARE FOOT ARTICLE 28 DIAGNOSTIC AND TREATMENT CENTER","HL DN01D",300000
"HL NC019","FY19","FY19","Q","Queens",31,"","Richards","ST. JOHN'S EPISCOPAL HOSPITAL LABOR AND DELIVERY UNIT RENOVATION","EPISCOPAL HEALTH SERVICES INC. PLANS TO RENOVATE AN ENTIRE FLOOR OF ST. JOHN'S EPISCOPAL HOSPITAL IN FAR ROCKAWAY, TO REPLACE THE CURRENT LABOR AND DELIVERY UNIT.","HL DN025",750000
"HL NC020","FY19","FY19","M","Manhattan",7,"Upper West Side, Manhattan Valley, Morningside Heights","Levine","ST. LUKE'S-ROOSEVELT HOSPITAL CENTER INC. D/B/A MOUNT SINAI ST. LUKE'S","PET/CT SCANNER AT MOUNT SINAI ST. LUKES","HL DN01F",250000
"HL NC021","FY19","FY19","K","Brooklyn",41,"Canarsie, Flatlands, Georgetown, Mill Basin","Ampry-Samuel","THE BROOKDALE HOSPITAL MEDICAL CENTER","BROOKDALE HOSPITAL IS SEEKING FUNDS TO ENHANCE BREAST HEALTH SERVICES FOR ITS PATIENT POPULATION. THE CURRENT MAMMOGRAPHY EQUIPMENT WILL BE REPLACED BY A DIGITAL 3D MACHINE WITH TOMOSYNTHESIS, IMPROVING PATIENT CARE AND IMAGE QUALITY, REDUCING PATIENT VIS","HL DN168",372000
"HL NC022","FY19","FY19","X","Bronx",15,"","Torres","UNION COMMUNITY HEALTH CENTER, INC. - EQUIPMENT","REHAB, DENTAL AND OPTOMETRY EQUIPMENT.","HL DN762",111000
"HL NC023","FY19","FY19","X","Bronx",15,"","Torres","UNION COMMUNITY HEALTH CENTER, INC. - EQUIPMENT","OUTREACH VAN PURCHASE","HL DN762",37000
"HL NC024","FY19","FY19","K","Brooklyn",36,"Crown Heights, Prospect Heights, Weeksville","Cornegy","INTERFAITH MEDICAL CENTER - PATIENT VENTILATORS","TO PURCHASE NEW VENTILATORS THAT WILL SUPPORT RESPIRATORY CLINICIANS AND STAFF.","HL DN192",280000
"HL NC025","FY19","FY19","K","Brooklyn",36,"Crown Heights, Prospect Heights, Weeksville","Cornegy","INTERFAITH MEDICAL CENTER -ANESTHESIA EQUIPMENT","FUNDING TO REPLACE ANESTHESIA EQUIPMENT.","HL DN192",252000
"HL NC026","FY19","FY19","K","Brooklyn",35,"Bedford-Stuyvesant, Ocean Hill","Cumbo","INTERFAITH MEDICAL CENTER","TWO DIGITAL PORTABLE X-RAYS","HL DN192",284000
"HL NC028","FY19","FY19","K","Brooklyn",40,"Bay Ridge, Dyker Heights, Fort Hamilton","Eugene","MAIMONIDES MEDICAL CENTER","PURCHASE OF NEW EQUIPMENT","HL DN254",137000
"HL NC031","FY19","FY19","K","Brooklyn",3536,"","Speaker, Cumbo, Cornegy","CALLEN-LORDE BROOKLYN CLINIC","FUNDING FOR THE OUTFITTING OF A 25,000 SQ FT CLINIC SPACE ON THE 3RD FLOOR OF 40 FLATBUSH AVENUE EXTENSION, A 12-STORY OFFICE BUILDING.","HL DN084",1317000
"HL NC034","FY19","FY19","M","Manhattan","","","Speaker","CALLEN-LORDE (COMMUNITY HEALTH PROJECT, INC.)","CHELSEA CLINIC LAB PROJECT","HL DN084",1422000
"HL NC038","FY19","FY19","K","Brooklyn",40414500,"","Eugene, Ampry-Samuel, Williams, Speaker","KINGSBROOK JEWISH MEDICAL CENTER","RADIOLOGY & WOUNDCARE EQUIP REPLACEMENT","HL DN228",1316000
